trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.4, 'e': 0.7631214671670618}",20,0,-108.27032765656054,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
109,False,"{'a': 0.4, 'e': 0.7612136634991441}",25,0,-124.04074043292675,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
110,False,"{'a': 0.4, 'e': 0.7593106293403963}",30,0,-58.396116372370464,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
111,False,"{'a': 0.4, 'e': 0.7574123527670453}",25,0,-92.29453403097249,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
112,False,"{'a': 0.4, 'e': 0.7555188218851278}",20,0,19.47173138117797,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.4, 'e': 0.753630024830415}",25,0,-19.251039317414286,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
114,False,"{'a': 0.4, 'e': 0.751745949768339}",30,1,-90.80854624254115,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 2}",1
115,False,"{'a': 0.4, 'e': 0.7498665848939182}",25,0,-130.13120825862867,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",1
116,False,"{'a': 0.4, 'e': 0.7479919184316834}",25,0,-42.844979868744666,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
117,False,"{'a': 0.4, 'e': 0.7461219386356043}",25,0,-13.168823305360679,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
118,False,"{'a': 0.4, 'e': 0.7442566337890153}",20,0,-70.28119230381623,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
119,False,"{'a': 0.4, 'e': 0.7423959922045428}",20,0,-39.993564922472174,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
120,False,"{'a': 0.4, 'e': 0.7405400022240315}",20,0,-113.09021182554764,"{0: 8, 1: 3, 2: 7, 3: 2, 4: 0}",0
121,False,"{'a': 0.4, 'e': 0.7386886522184715}",20,0,-6.1571596362995225,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
122,False,"{'a': 0.4, 'e': 0.7368419305879252}",20,0,-131.66097185229265,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
123,False,"{'a': 0.4, 'e': 0.7349998257614555}",20,0,-38.65651680195393,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
124,False,"{'a': 0.4, 'e': 0.7331623261970519}",25,0,-93.47744468067717,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
125,False,"{'a': 0.4, 'e': 0.7313294203815593}",20,10,-101.43794946002146,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 2}",1
126,False,"{'a': 0.4, 'e': 0.7295010968306055}",25,0,-80.75237738078681,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 0}",0
127,False,"{'a': 0.4, 'e': 0.727677344088529}",35,12,-19.544698644032696,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
128,False,"{'a': 0.4, 'e': 0.7258581507283077}",25,0,-65.94668022572405,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
129,False,"{'a': 0.4, 'e': 0.724043505351487}",25,0,-112.10275719102975,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
130,False,"{'a': 0.4, 'e': 0.7222333965881083}",25,0,-92.37672392858931,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
131,False,"{'a': 0.4, 'e': 0.7204278130966381}",20,10,-15.853917329164597,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
132,False,"{'a': 0.4, 'e': 0.7186267435638966}",20,0,-36.03357019306525,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
133,False,"{'a': 0.4, 'e': 0.7168301767049868}",20,8,-61.47222837762638,"{0: 6, 1: 0, 2: 5, 3: 1, 4: 0}",1
134,False,"{'a': 0.4, 'e': 0.7150381012632244}",25,0,-23.104769985517223,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
